School,Year,Level,Size
Colonel Gray Family of Schools,Parkdale Elementary,2003,Grade 4,19
Colonel Gray Family of Schools,Parkdale Elementary,2003,Grade 5,22
Colonel Gray Family of Schools,Parkdale Elementary,2003,Grade 6,32
Colonel Gray Family of Schools,Parkdale Elementary,2003,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2003,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2003,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2003,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2003,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2003,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2004,K,0
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 1,14
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 2,18
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 3,25
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 4,20
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 5,19
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 6,26
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2004,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2005,K,0
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 1,22
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 2,15
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 3,19
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 4,23
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 5,21
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 6,18
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2005,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2006,K,0
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 1,18
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 2,21
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 3,13
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 4,19
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 5,23
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 6,21
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2006,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2007,K,0
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 1,15
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 2,19
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 3,20
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 4,16
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 5,17
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 6,25
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2007,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2008,K,0
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 1,15
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 2,16
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 3,19
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 4,19
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 5,14
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 6,17
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2008,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2009,K,0
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 1,17
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 2,14
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 3,17
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 4,18
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 5,19
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 6,15
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2009,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2010,K,9
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 1,19
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 2,19
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 3,15
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 4,16
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 5,17
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 6,18
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2010,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2011,K,20
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 1,8
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 2,17
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 3,21
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 4,14
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 5,16
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 6,15
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2011,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2012,K,25
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 1,23
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 2,7
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 3,18
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 4,22
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 5,12
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 6,19
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2012,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2013,K,30
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 1,29
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 2,26
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 3,6
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 4,17
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 5,22
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 6,11
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2013,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2014,K,24
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 1,29
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 2,22
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 3,26
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 4,7
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 5,17
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 6,20
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2014,Grade 12,0
Colonel Gray Family of Schools,Parkdale Elementary,2015,K,15
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 1,21
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 2,28
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 3,21
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 4,23
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 5,9
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 6,17
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 7,0
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 8,0
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 9,0
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 10,0
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 11,0
Colonel Gray Family of Schools,Parkdale Elementary,2015,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 7,181
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 8,180
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 9,194
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,1999,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 7,168
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 8,179
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 9,184
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2000,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 7,209
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 8,171
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 9,180
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2001,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 7,182
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 8,200
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 9,168
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2002,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 7,192
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 8,181
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 9,207
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2003,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 7,187
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 8,201
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 9,185
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2004,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 7,179
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 8,182
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 9,205
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2005,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 7,182
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 8,189
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 9,191
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2006,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 7,176
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 8,177
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 9,200
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2007,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 7,158
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 8,180
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 9,193
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2008,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 7,200
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 8,162
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 9,195
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2009,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 7,159
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 8,205
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 9,175
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2010,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 7,150
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 8,159
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 9,184
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2011,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 7,153
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 8,145
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 9,158
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2012,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 7,136
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 8,164
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 9,151
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2013,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 4,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 5,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 6,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 7,172
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 8,150
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 9,180
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 10,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 11,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2014,Grade 12,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2015,K,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2015,Grade 1,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2015,Grade 2,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2015,Grade 3,0
Colonel Gray Family of Schools,Queen Charlotte Intermediate,2015,Grade 4,0
