School,Year,Level,Size
Bluefield Family of Schools,Bluefield High,2004,Grade 3,0
Bluefield Family of Schools,Bluefield High,2004,Grade 4,0
Bluefield Family of Schools,Bluefield High,2004,Grade 5,0
Bluefield Family of Schools,Bluefield High,2004,Grade 6,0
Bluefield Family of Schools,Bluefield High,2004,Grade 7,0
Bluefield Family of Schools,Bluefield High,2004,Grade 8,0
Bluefield Family of Schools,Bluefield High,2004,Grade 9,0
Bluefield Family of Schools,Bluefield High,2004,Grade 10,288
Bluefield Family of Schools,Bluefield High,2004,Grade 11,280
Bluefield Family of Schools,Bluefield High,2004,Grade 12,263
Bluefield Family of Schools,Bluefield High,2005,K,0
Bluefield Family of Schools,Bluefield High,2005,Grade 1,0
Bluefield Family of Schools,Bluefield High,2005,Grade 2,0
Bluefield Family of Schools,Bluefield High,2005,Grade 3,0
Bluefield Family of Schools,Bluefield High,2005,Grade 4,0
Bluefield Family of Schools,Bluefield High,2005,Grade 5,0
Bluefield Family of Schools,Bluefield High,2005,Grade 6,0
Bluefield Family of Schools,Bluefield High,2005,Grade 7,0
Bluefield Family of Schools,Bluefield High,2005,Grade 8,0
Bluefield Family of Schools,Bluefield High,2005,Grade 9,0
Bluefield Family of Schools,Bluefield High,2005,Grade 10,329
Bluefield Family of Schools,Bluefield High,2005,Grade 11,276
Bluefield Family of Schools,Bluefield High,2005,Grade 12,239
Bluefield Family of Schools,Bluefield High,2006,K,0
Bluefield Family of Schools,Bluefield High,2006,Grade 1,0
Bluefield Family of Schools,Bluefield High,2006,Grade 2,0
Bluefield Family of Schools,Bluefield High,2006,Grade 3,0
Bluefield Family of Schools,Bluefield High,2006,Grade 4,0
Bluefield Family of Schools,Bluefield High,2006,Grade 5,0
Bluefield Family of Schools,Bluefield High,2006,Grade 6,0
Bluefield Family of Schools,Bluefield High,2006,Grade 7,0
Bluefield Family of Schools,Bluefield High,2006,Grade 8,0
Bluefield Family of Schools,Bluefield High,2006,Grade 9,0
Bluefield Family of Schools,Bluefield High,2006,Grade 10,296
Bluefield Family of Schools,Bluefield High,2006,Grade 11,306
Bluefield Family of Schools,Bluefield High,2006,Grade 12,255
Bluefield Family of Schools,Bluefield High,2007,K,0
Bluefield Family of Schools,Bluefield High,2007,Grade 1,0
Bluefield Family of Schools,Bluefield High,2007,Grade 2,0
Bluefield Family of Schools,Bluefield High,2007,Grade 3,0
Bluefield Family of Schools,Bluefield High,2007,Grade 4,0
Bluefield Family of Schools,Bluefield High,2007,Grade 5,0
Bluefield Family of Schools,Bluefield High,2007,Grade 6,0
Bluefield Family of Schools,Bluefield High,2007,Grade 7,0
Bluefield Family of Schools,Bluefield High,2007,Grade 8,0
Bluefield Family of Schools,Bluefield High,2007,Grade 9,0
Bluefield Family of Schools,Bluefield High,2007,Grade 10,306
Bluefield Family of Schools,Bluefield High,2007,Grade 11,262
Bluefield Family of Schools,Bluefield High,2007,Grade 12,283
Bluefield Family of Schools,Bluefield High,2008,K,0
Bluefield Family of Schools,Bluefield High,2008,Grade 1,0
Bluefield Family of Schools,Bluefield High,2008,Grade 2,0
Bluefield Family of Schools,Bluefield High,2008,Grade 3,0
Bluefield Family of Schools,Bluefield High,2008,Grade 4,0
Bluefield Family of Schools,Bluefield High,2008,Grade 5,0
Bluefield Family of Schools,Bluefield High,2008,Grade 6,0
Bluefield Family of Schools,Bluefield High,2008,Grade 7,0
Bluefield Family of Schools,Bluefield High,2008,Grade 8,0
